cluster,Label
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
1,rice
5,maize
0,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
5,maize
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,chickpea
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
4,kidneybeans
2,pigeonpeas
2,pigeonpeas
2,pigeonpeas
2,pigeonpeas
2,pigeonpeas
